dt300:  1055.6557407880007 s
dt320:  989.5289883890001 s
dt340:  943.937438496002 s
dt360:  886.2096214839997 s
dt380:  861.4905391190003 s
dt400:  862.9564241310002 s
dt450:  761.4556917689999 s
dt500:  719.6532197529992 s
dt550:  720.0057516519994 s
hmomvisc20.0:  888.3481000789996 s
hmomvisc20.1:  887.5290478359996 s
hmomvisc20.2:  886.3232352090004 s
hmomvisc40.0:  885.8655776799988 s
hmomvisc40.1:  859.5412473649994 s
hmomvisc40.2:  858.8836153319995 s
order2:  813.6732052909985 s
order3:  817.9916456930008 s
posdeffalse:  1094.6534270249997 s
posdeftrue:  1094.8197322829988 s
radtsw00_30_00:  971.4352428790004 s
radtsw01_00_00:  891.1573397150021 s
radtsw01_30_00:  862.7866904030016 s
thetaadv1:  1094.7648228280007 s
thetaadv10:  1094.439662721998 s
thetaadv2:  1094.9005634339997 s
thetaadv3:  1096.2967028980001 s
thetaadv4:  1094.9719334399992 s
thetaadv5:  1094.8570692379997 s
thetaadv6:  1095.0900080840001 s
thetaadv7:  1094.812018269999 s
thetaadv8:  1095.6611720250007 s
thetaadv9:  1095.0030843350003 s
