cloudwaterauto0.001:  1096.7557066589993 s
cloudwaterauto0.002:  1095.9749235269974 s
cloudwaterauto0.003:  1095.8001690110011 s
cloudwaterauto0.004:  1095.0786342950014 s
cloudwaterauto0.005:  1095.7686987410016 s
rainevap1.0:  1095.7397523420009 s
rainevap1.5:  1095.8787763869982 s
rainevap2.0:  1095.3842719239992 s
rainevap2.5:  1095.453497626001 s
rainevap3.0:  1096.4903634809998 s
vmomeddyvisc20.0:  814.0623659409989 s
vmomeddyvisc20.1:  816.7711317589994 s
vmomeddyvisc20.2:  816.6570822179997 s
vmomeddyvisc20.3:  816.6112265100002 s
vmomeddyvisc20.4:  816.8294598200017 s
vthetaeddyvisc20.0:  813.2053615810015 s
vthetaeddyvisc20.1:  814.7160294030003 s
vthetaeddyvisc20.2:  813.8111919699992 s
vthetaeddyvisc20.3:  813.7182023690017 s
